Start of File
509,90,89,-0.98,7.72,-6.05,0.00,-0.01,-0.00,-72.29,17.16,-1.49,0,0,0,
515,90,89,-0.98,7.72,-6.05,0.00,-0.01,0.00,-71.72,17.41,-1.27,0,0,0,
521,90,89,-0.98,7.72,-6.05,0.00,-0.01,0.00,-72.52,17.30,0.01,0,0,0,
527,90,90,-0.98,7.70,-6.05,0.00,-0.01,0.00,-71.98,17.85,-1.43,0,0,0,
534,89,89,-0.97,7.73,-6.04,0.00,-0.01,0.00,-72.38,18.20,-0.79,0,0,0,
540,89,89,-0.97,7.73,-6.04,0.00,-0.01,0.00,-72.33,17.41,-1.36,0,0,0,
546,90,89,-0.98,7.72,-6.04,0.00,-0.01,0.00,-71.97,17.77,-1.68,0,0,0,
551,90,90,-0.98,7.71,-6.05,0.00,-0.01,0.00,-72.29,17.47,-1.91,0,0,0,
561,89,89,-0.97,7.72,-6.06,0.00,-0.01,0.00,-72.17,17.26,-1.24,0,0,0,
567,89,89,-0.97,7.72,-6.06,0.00,-0.01,0.00,-71.81,17.66,-1.33,0,0,0,
573,90,90,-0.97,7.71,-6.04,-0.00,-0.01,0.00,-72.30,17.51,-1.05,0,0,0,
579,89,89,-0.98,7.73,-6.04,0.00,-0.01,0.00,-71.86,17.06,-1.42,0,0,0,
585,89,89,-0.98,7.73,-6.04,0.00,-0.01,0.00,-71.89,18.12,-2.24,0,0,0,
590,90,89,-0.98,7.72,-6.06,0.00,-0.01,0.00,-72.13,17.61,-2.12,0,0,0,
596,90,89,-0.98,7.72,-6.05,0.00,-0.01,-0.31,-72.13,16.90,0.12,0,0,0,
606,90,90,-0.98,7.71,-6.06,0.00,-0.01,0.00,-72.36,17.51,-2.27,0,0,0,
612,90,90,-0.98,7.71,-6.06,0.00,-0.01,0.00,-71.94,17.51,-2.09,0,0,0,
618,90,89,-0.98,7.71,-6.05,0.00,-0.01,0.00,-72.22,17.35,-1.77,0,0,0,
623,90,89,-0.98,7.72,-6.05,0.00,-0.01,0.00,-71.84,17.74,-3.00,0,0,0,
629,89,89,-0.98,7.72,-6.05,0.00,-0.01,-0.00,-71.85,17.67,-1.59,0,0,0,
635,90,89,-0.98,7.72,-6.06,0.00,-0.01,-0.00,-71.62,17.54,-0.77,0,0,0,
641,90,89,-0.98,7.72,-6.06,0.00,-0.01,-0.00,-71.37,17.23,-0.73,0,0,0,
651,89,89,-0.98,7.72,-6.06,0.00,-0.01,0.00,-71.63,17.14,0.18,0,0,0,
657,89,89,-0.97,7.73,-6.04,0.00,-0.01,0.00,-71.57,17.11,-1.26,0,0,0,
662,90,89,-0.98,7.72,-6.05,0.00,-0.01,0.00,-71.73,17.26,-1.90,0,0,0,
668,90,89,-0.98,7.72,-6.05,0.00,-0.01,0.00,-71.81,17.68,-0.69,0,0,0,
674,90,90,-0.98,7.71,-6.05,0.00,-0.01,-0.00,-71.82,17.20,-1.18,0,0,0,
680,89,89,-0.97,7.73,-6.06,0.00,-0.01,0.00,-71.73,17.14,-1.30,0,0,0,
686,89,89,-0.97,7.73,-6.06,0.00,-0.01,0.00,-71.76,17.63,-0.69,0,0,0,
696,90,90,-0.98,7.72,-6.05,0.00,-0.01,-0.00,-71.62,17.10,-1.64,0,0,0,
702,89,89,-0.98,7.72,-6.04,0.00,-0.01,0.00,-71.73,16.81,-2.29,0,0,0,
708,90,89,-0.99,7.72,-6.05,0.00,-0.01,0.00,-71.63,17.32,-0.98,0,0,0,
714,90,89,-0.99,7.72,-6.05,0.00,-0.01,0.00,-71.70,17.82,-2.41,0,0,0,
720,89,90,-0.97,7.72,-6.05,0.00,-0.01,0.00,-71.72,17.60,-1.61,0,0,0,
725,90,90,-0.98,7.71,-6.05,0.00,-0.01,0.00,-71.41,17.82,-1.46,0,0,0,
731,90,90,-0.98,7.71,-6.05,0.00,-0.01,0.00,-72.01,17.35,-0.96,0,0,0,
737,90,89,-0.99,7.72,-6.04,0.00,-0.01,0.00,-71.54,17.22,-1.11,0,0,0,
747,89,89,-0.98,7.73,-6.05,0.00,-0.01,0.00,-71.46,17.60,-2.31,0,0,0,
753,89,89,-0.98,7.72,-6.05,0.00,-0.01,0.00,-70.99,17.39,-0.96,0,0,0,
758,89,89,-0.98,7.72,-6.05,0.00,-0.01,0.00,-72.05,17.63,-2.05,0,0,0,
764,89,89,-0.97,7.73,-6.04,0.00,-0.01,0.00,-71.70,17.57,-1.72,0,0,0,
770,89,89,-0.97,7.73,-6.04,0.00,-0.01,0.00,-71.84,17.70,-1.05,0,0,0,
775,90,90,-0.97,7.71,-6.06,0.00,-0.01,0.00,-71.78,17.14,-2.22,0,0,0,
781,90,89,-0.98,7.72,-6.05,0.00,-0.01,0.00,-71.67,17.33,-2.79,0,0,0,
793,90,89,-0.99,7.71,-6.05,0.00,-0.01,-0.00,-72.22,16.81,-1.15,0,0,0,
799,89,89,-0.98,7.72,-6.05,0.00,-0.01,-0.00,-71.82,17.57,-2.24,0,0,0,
804,89,89,-0.98,7.72,-6.05,0.00,-0.01,-0.00,-71.98,17.87,-1.97,0,0,0,
810,90,89,-0.98,7.72,-6.04,0.00,-0.01,0.00,-72.41,17.01,-0.86,0,0,0,
816,90,89,-0.98,7.72,-6.04,0.00,-0.01,0.00,-71.79,16.97,-0.58,0,0,0,
821,90,90,-0.98,7.71,-6.05,0.00,-0.01,0.00,-71.88,17.57,-1.53,0,0,0,
827,90,90,-0.98,7.71,-6.06,0.00,-0.01,0.00,-71.85,17.36,-2.06,0,0,0,
