Start of File
69458,-0.21,-0.18,9.43,-0.01,-0.01,0.06,-25.81,36.16,-11.40,---------------,0.32,0.09,9.93,0.00,-0.04,0.05,-14.63,-24.86,-14.57,€,0,
69475,-0.49,0.11,9.43,-0.40,-0.01,0.06,-26.79,35.91,-11.12,---------------,0.62,0.22,9.88,-0.01,-0.03,0.05,-14.86,-24.47,-13.90,€,0,
69489,-0.66,0.38,9.41,0.02,-0.01,0.05,-25.53,36.26,-10.52,---------------,0.79,0.13,9.84,-0.03,-0.02,0.03,-14.56,-24.41,-14.21,€,0,
69500,-0.92,0.44,9.43,0.02,-0.01,0.02,-26.43,35.68,-10.25,---------------,0.95,0.07,9.83,-0.02,-0.02,0.01,-14.67,-24.19,-13.75,€,0,
69516,-0.92,0.25,9.52,-0.01,-0.01,0.01,-22.77,36.10,-10.27,---------------,0.97,0.10,9.91,0.02,-0.02,0.00,-14.26,-24.29,-13.71,€,0,
69529,-0.83,0.28,9.50,-0.01,0.00,0.01,-26.51,34.73,-11.40,---------------,0.93,-0.05,9.91,-0.00,-0.01,-0.01,-14.22,-24.92,-13.65,€,0,
69541,-0.94,0.22,9.64,-0.00,-0.00,0.00,-26.35,36.04,-10.74,---------------,0.78,0.07,9.93,-0.02,-0.01,-0.02,-14.63,-24.47,-14.07,€,0,
69554,-0.67,0.10,9.59,0.00,-0.03,-0.00,-26.48,36.26,-10.54,---------------,0.61,0.01,9.88,-0.01,-0.01,-0.02,-14.16,-24.51,-14.25,€,0,
69571,-0.49,0.16,9.80,-0.01,-0.04,0.00,-26.12,35.81,-11.46,---------------,0.43,0.00,9.91,0.00,-0.01,-0.01,-14.44,-24.20,-13.81,€,0,
69584,-0.42,0.14,9.82,-0.02,-0.03,-0.00,-26.35,35.46,-10.30,---------------,0.44,0.04,9.90,0.01,-0.01,-0.01,-14.24,-24.71,-13.90,€,0,
69597,-0.71,0.12,9.65,-0.00,-0.02,-0.02,-26.38,35.43,-10.82,---------------,0.50,0.06,9.91,-0.01,-0.01,-0.03,-14.72,-25.12,-14.21,€,0,
69609,-0.31,0.12,9.61,0.01,-0.02,-0.02,-26.48,34.84,-11.14,---------------,0.34,0.02,9.93,-0.01,-0.01,-0.03,-14.67,-24.79,-14.21,€,0,
69626,-0.27,0.04,9.60,0.01,-0.02,-0.02,-26.26,35.97,-10.55,---------------,0.27,0.01,9.90,-0.01,-0.01,-0.03,-13.88,-24.48,-14.32,€,0,
69639,-0.20,0.01,9.71,0.01,-0.03,-0.02,-26.45,36.23,-10.74,---------------,0.17,-0.06,9.91,-0.01,-0.01,-0.03,-14.63,-24.69,-14.18,€,0,
69652,-0.08,-0.02,9.77,0.01,-0.02,-0.02,-25.99,35.82,-10.16,---------------,0.09,-0.04,9.85,-0.00,-0.01,-0.02,-15.30,-24.54,-13.93,€,0,
69664,-0.08,-0.05,9.71,0.00,-0.01,-0.01,-26.40,35.87,-10.63,---------------,0.12,-0.07,9.88,0.00,-0.02,-0.02,-14.62,-24.19,-13.99,€,0,
69681,-0.21,-0.04,9.67,0.00,-0.01,-0.01,-26.25,36.04,-10.82,---------------,0.25,-0.06,9.93,0.00,-0.02,-0.01,-14.35,-24.80,-13.31,€,0,
69694,-0.27,0.00,9.70,-0.00,-0.01,-0.00,-26.67,35.74,-11.15,---------------,0.30,0.03,9.93,0.01,-0.02,-0.01,-14.50,-24.52,-14.92,€,0,
69707,-0.30,0.10,9.64,-0.01,-0.01,-0.00,-26.21,35.62,-10.03,---------------,0.33,0.12,9.95,0.01,-0.02,-0.01,-14.35,-24.86,-15.48,€,0,
69732,-0.34,0.10,9.32,0.01,-0.02,-0.02,-26.47,35.50,-10.19,---------------,0.31,0.07,10.01,-0.01,0.00,-0.03,-14.26,-24.10,-13.96,€,0,
69745,-0.25,-0.18,9.54,0.03,-0.03,-0.03,-26.15,36.00,-10.92,---------------,0.18,-0.13,10.04,-0.02,0.01,-0.03,-14.21,-23.94,-14.03,€,0,
69757,-0.18,-0.16,9.50,0.00,-0.04,-0.00,-26.86,35.37,-10.38,---------------,0.14,-0.15,9.80,-0.01,0.01,-0.01,-14.51,-24.17,-14.15,€,0,
69770,-0.16,-0.16,9.60,-0.00,-0.04,0.01,-26.37,35.62,-10.38,---------------,0.16,-0.10,10.02,0.01,0.01,0.01,-14.09,-23.97,-15.08,€,0,
69787,-0.15,-0.07,9.66,-0.00,-0.04,0.03,-26.21,35.57,-10.95,---------------,0.13,-0.11,9.84,0.01,0.02,0.03,-14.70,-24.41,-14.05,€,0,
69800,-0.06,0.03,10.07,-0.00,-0.04,0.04,-26.34,35.75,-10.33,---------------,0.03,-0.00,9.70,0.01,0.01,0.03,-14.56,-23.72,-14.32,€,0,
69812,0.12,0.14,10.37,-0.01,-0.02,0.04,-26.25,35.65,-10.87,---------------,-0.20,0.11,9.47,0.01,-0.01,0.03,-13.71,-23.98,-14.37,€,0,
69825,0.42,0.28,10.25,-0.01,0.03,0.03,-25.81,35.62,-10.36,---------------,-0.21,0.18,9.42,0.02,-0.08,0.02,-14.64,-24.55,-14.45,€,0,
69842,0.26,0.09,10.06,-0.00,0.05,0.02,-25.97,36.26,-11.27,---------------,-0.14,0.25,9.57,-0.00,-0.10,0.01,-14.28,-24.71,-14.72,€,0,
69855,-0.05,-0.45,8.68,-0.00,0.05,0.02,-25.45,35.93,-10.82,---------------,-0.21,0.05,9.32,-0.03,-0.03,0.01,-14.64,-24.32,-15.24,€,0,
69868,0.14,0.25,9.20,0.02,0.01,0.02,-26.54,35.56,-11.01,---------------,0.09,0.22,10.32,0.02,-0.04,0.01,-14.47,-24.69,-14.95,€,0,
69881,-0.05,-0.28,9.75,-0.02,0.02,0.02,-26.25,35.66,-10.46,---------------,0.04,-0.08,9.87,0.01,-0.04,0.01,-14.21,-25.24,-13.99,€,0,
69898,-0.07,0.28,9.19,0.01,0.01,0.02,-26.29,35.91,-11.14,---------------,0.02,0.05,9.77,0.01,-0.03,0.01,-14.15,-24.88,-13.78,€,0,
69911,-0.25,0.38,9.37,-0.03,-0.01,0.01,-26.37,36.01,-11.08,---------------,0.44,0.13,9.79,0.03,-0.03,0.01,-14.64,-24.29,-15.08,€,0,
69924,-0.42,0.30,9.80,-0.00,-0.01,0.01,-26.02,35.49,-10.77,---------------,0.48,0.02,10.03,-0.01,-0.02,-0.00,-14.26,-24.33,-15.19,€,0,
69936,-0.49,0.28,9.94,0.01,-0.01,0.00,-25.96,36.01,-11.46,---------------,0.54,-0.12,9.94,0.00,-0.03,-0.01,-14.06,-24.16,-14.78,€,0,
69953,-0.53,0.15,9.38,0.01,-0.01,-0.01,-25.49,36.17,-10.74,---------------,0.53,0.08,9.91,-0.01,-0.02,-0.02,-14.31,-24.71,-16.16,€,0,
69975,-0.62,-0.07,9.35,0.31,-0.01,-0.00,-25.84,35.66,-11.06,---------------,0.54,-0.01,9.84,0.00,-0.02,-0.01,-14.59,-24.54,-15.07,€,0,
69988,-0.62,-0.06,9.60,0.00,-0.02,0.00,-26.41,36.07,-11.55,---------------,0.72,-0.08,9.90,-0.00,-0.01,-0.00,-14.67,-23.84,-14.89,€,0,
70005,-0.76,0.23,9.76,0.01,-0.02,0.01,-26.21,36.33,-11.18,---------------,0.79,-0.02,9.93,-0.00,-0.01,0.00,-14.86,-23.93,-15.45,€,0,
70018,-0.47,0.37,9.66,0.00,-0.02,0.01,-25.77,35.82,-11.39,---------------,0.30,-0.05,9.92,0.00,-0.02,-0.00,-14.35,-24.25,-15.49,€,0,
70030,-0.26,0.05,9.77,-0.01,-0.01,0.01,-25.80,36.29,-10.71,---------------,0.27,0.01,9.96,0.01,-0.02,-0.00,-14.67,-24.04,-14.85,€,0,
70043,-0.21,-0.22,9.52,-0.01,-0.01,0.01,-26.03,36.16,-11.30,---------------,0.23,0.01,9.59,0.01,-0.02,-0.00,-18.23,-24.29,-15.07,€,0,
70060,-0.08,-0.36,9.63,-0.00,-0.01,0.01,-26.06,35.68,-11.08,---------------,0.10,0.07,9.89,0.00,-0.02,0.01,-14.92,-24.20,-14.98,€,0,
70073,-0.15,-0.37,9.46,0.00,-0.01,0.03,-26.07,36.19,-11.36,---------------,0.28,-0.05,9.85,-0.01,-0.01,0.03,-13.88,-24.64,-14.57,€,0,
70085,-0.34,-0.12,9.52,0.01,-0.02,0.04,-26.45,35.93,-11.21,---------------,0.37,-0.12,9.91,-0.01,-0.01,0.04,-14.40,-24.89,-15.62,€,0,
70098,-0.37,-0.18,9.60,0.01,-0.02,0.06,-26.70,36.12,-11.08,---------------,0.37,-0.10,9.91,-0.01,-0.01,0.05,-14.85,-24.32,-15.68,€,0,
70115,-0.43,0.04,9.77,0.01,-0.03,0.07,-26.43,36.64,-10.74,---------------,0.36,-0.29,9.96,-0.01,-0.01,0.06,-14.51,-23.56,-15.17,€,0,
70128,-0.19,-0.07,9.84,-0.01,-0.02,0.09,-26.69,36.17,-10.76,---------------,0.23,-0.10,9.94,0.01,-0.01,0.07,-15.27,-23.43,-14.98,€,0,
70141,-0.18,-0.00,9.74,-0.01,-0.01,0.09,-26.00,36.28,-10.93,---------------,0.18,-0.06,9.79,0.01,-0.02,0.08,-15.17,-24.38,-15.40,€,0,
70153,-0.15,-0.03,9.74,-0.01,-0.01,0.09,-26.32,36.10,-11.18,---------------,0.19,-0.04,9.91,0.01,-0.02,0.08,-14.97,-24.09,-15.35,€,0,
70170,-0.22,0.11,9.48,-0.01,-0.01,0.10,-25.59,35.94,-11.58,---------------,0.21,0.08,9.97,0.01,-0.02,0.08,-14.91,-23.44,-15.45,€,0,
70183,-0.20,0.24,9.66,-0.01,-0.01,0.10,-25.74,36.16,-11.49,---------------,0.24,0.13,9.89,0.00,-0.01,0.08,-14.97,-23.88,-15.90,€,0,
70196,-0.29,0.07,9.60,0.00,-0.02,0.09,-25.62,36.39,-12.01,---------------,0.30,0.06,9.89,0.00,-0.01,0.06,-14.32,-23.90,-15.76,€,0,
70208,-0.26,-0.00,9.55,0.00,-0.02,0.08,-25.77,35.27,-12.34,---------------,0.27,0.03,9.87,0.00,-0.01,0.06,-15.00,-24.73,-16.00,€,0,
70233,-0.22,0.11,9.67,0.00,-0.02,0.07,-25.55,36.44,-11.77,---------------,0.27,0.01,9.85,-0.00,-0.01,0.06,-14.50,-23.71,-15.30,€,0,
70245,-0.20,0.16,9.80,-0.00,-0.02,0.07,-25.17,36.04,-11.31,---------------,0.24,0.05,9.97,0.00,-0.01,0.06,-14.83,-24.47,-14.70,€,0,
70258,-0.20,0.28,9.76,-0.00,-0.02,0.07,-25.17,36.14,-11.15,---------------,0.24,0.08,9.89,0.01,-0.01,0.05,-14.44,-23.90,-15.65,€,0,
70270,-0.20,0.06,9.70,-0.01,-0.01,0.06,-25.71,35.91,-10.60,---------------,0.24,0.11,9.89,0.01,-0.02,0.05,-14.29,-23.97,-15.51,€,0,
70288,-0.25,-0.58,9.57,0.01,-0.01,0.07,-25.68,36.12,-11.34,---------------,0.21,-0.30,9.97,-0.00,-0.02,0.06,-15.33,-23.37,-16.02,€,0,
70301,-0.31,-0.86,9.30,-0.00,-0.01,0.10,-25.15,36.06,-12.61,---------------,0.23,-0.14,9.86,0.01,-0.02,0.08,-15.54,-23.97,-15.38,€,0,
70314,-0.36,-0.91,9.58,0.00,-0.01,0.13,-25.21,35.47,-11.37,---------------,0.35,-0.16,9.87,0.00,-0.01,0.14,-15.24,-24.16,-15.17,€,0,
70331,-0.30,-0.30,9.58,0.01,-0.02,0.18,-25.26,35.93,-12.31,---------------,0.31,-0.40,9.93,0.00,-0.01,0.18,-15.13,-24.06,-15.33,€,0,
70344,-0.28,0.24,9.69,-0.00,-0.02,0.19,-25.21,35.81,-12.22,---------------,0.34,-0.13,10.04,0.01,-0.01,0.19,-14.85,-23.65,-15.21,€,0,
